(200 53 55 1 1)
(200 59 59 1 1)
(200 62 61 1 0)
(200 74 68 1 0)
(201 42 49 1 1)
(201 69 65 1/3 0)
(201 74 68 1/3 0)
(604/3 62 61 1/3 0)
(605/3 69 65 7/3 0)
(605/3 74 68 11/6 0)
(202 54 56 1 1)
(202 57 58 1 1)
(202 62 61 3/2 0)
(203 54 56 1 1)
(203 57 58 1 1)
(407/2 61 60 1/2 0)
(407/2 73 67 1/2 0)
(204 40 48 1 1)
(204 68 64 1/3 0)
(204 74 68 1/3 0)
(613/3 62 61 1/3 0)
(614/3 68 64 7/3 0)
(614/3 74 68 4/3 0)
(205 52 55 1 1)
(205 59 59 1 1)
(205 62 61 1 0)
(206 52 55 1 1)
(206 59 59 1 1)
(206 62 61 1 0)
(206 74 68 1 0)
(207 45 51 1 1)
(207 69 65 1/3 0)
(207 74 68 1/3 0)
(622/3 62 61 1/3 0)
(623/3 69 65 7/3 0)
(623/3 74 68 11/6 0)
(208 52 55 1 1)
(208 57 58 1 1)
(208 62 61 3/2 0)
(209 52 55 1 1)
(209 57 58 1 1)
(419/2 61 60 1/2 0)
(419/2 73 67 1/2 0)
(210 40 48 1 1)
(210 68 64 1/3 0)
(210 74 68 1/3 0)
(631/3 62 61 1/3 0)
(632/3 68 64 1/3 0)
(632/3 74 68 4/3 0)
(211 52 55 1 1)
(211 59 59 1 1)
(211 62 61 1 0)
(211 68 64 2 0)
(212 52 55 1 1)
(212 59 59 1 1)
(212 62 61 1 0)
(212 74 68 1 0)
(213 45 51 1 1)
(213 69 65 1/3 0)
(213 74 68 1/3 0)
(640/3 62 61 1/3 0)
(641/3 69 65 7/3 0)
(641/3 74 68 11/6 0)
(214 52 55 1 1)
(214 57 58 1 1)
(214 62 61 3/2 0)
(215 52 55 1 1)
(215 57 58 1 1)
(431/2 61 60 1/2 0)
(431/2 73 67 1/2 0)
(216 41 48 1 1)
(216 68 64 1/3 0)
(216 74 68 1/3 0)
(649/3 62 61 1/3 0)
(650/3 68 64 7/3 0)
(650/3 74 68 4/3 0)
(217 53 55 1 1)
(217 59 59 1 1)
(217 62 61 1 0)
(218 53 55 1 1)
(218 59 59 1 1)
(218 62 61 1 0)
(218 74 68 1 0)
(219 42 49 1 1)
(219 69 65 1/3 0)
(219 74 68 1/3 0)
(658/3 62 61 1/3 0)
(659/3 69 65 7/3 0)
(659/3 74 68 11/6 0)
(220 54 56 1 1)
(220 57 58 1 1)
(220 62 61 3/2 0)
(221 54 56 1 1)
(221 57 58 1 1)
(443/2 61 60 1/2 0)
(443/2 73 67 1/2 0)
(222 41 48 1 1)
(222 68 64 1/3 0)
(222 74 68 1/3 0)
(667/3 62 61 1/3 0)
(668/3 68 64 7/3 0)
(668/3 74 68 4/3 0)
(223 53 55 1 1)
(223 59 59 1 1)
(223 62 61 1 0)
(224 53 55 1 1)
(224 59 59 1 1)
(224 62 61 1 0)
(224 74 68 1 0)
(225 42 49 1 1)
(225 69 65 1/3 0)
(225 74 68 1/3 0)
(676/3 62 61 1/3 0)
(677/3 69 65 7/3 0)
(677/3 74 68 11/6 0)
(226 54 56 1 1)
(226 57 58 1 1)
(226 62 61 3/2 0)
(227 54 56 1 1)
(227 57 58 1 1)
(455/2 61 60 1/2 0)
(455/2 73 67 1/2 0)
(228 40 48 1 1)
(228 68 64 1/3 0)
(228 74 68 1/3 0)
(685/3 62 61 1/3 0)
(686/3 68 64 7/3 0)
(686/3 74 68 4/3 0)
(229 52 55 1 1)
(229 59 59 1 1)
(229 62 61 1 0)
(230 52 55 1 1)
(230 59 59 1 1)
(230 62 61 1 0)
(230 74 68 1 0)
(231 45 51 1 1)
(231 69 65 1/3 0)
(231 74 68 1/3 0)
(694/3 62 61 1/3 0)
(695/3 69 65 7/3 0)
(695/3 74 68 11/6 0)
(232 52 55 1 1)
(232 57 58 1 1)
(232 62 61 3/2 0)
(233 52 55 1 1)
(233 57 58 1 1)
(467/2 61 60 1/2 0)
(467/2 73 67 1/2 0)
(234 40 48 1 1)
(234 68 64 1/3 0)
(234 74 68 1/3 0)
(703/3 62 61 1/3 0)
(704/3 68 64 1/3 0)
(704/3 74 68 4/3 0)
(235 52 55 1 1)
(235 59 59 1 1)
(235 62 61 1 0)
(235 68 64 2 0)
(236 52 55 1 1)
(236 59 59 1 1)
(236 62 61 1 0)
